# #bin_centre bin_width dndV dn(dVdlogM)
9.025000000000000355e+00 5.000000000000071054e-02 4.386513001831833085e-22 8.773026003663542037e-21
9.075000000000001066e+00 5.000000000000071054e-02 4.309626935867549691e-22 8.619253871734977131e-21
9.125000000000001776e+00 5.000000000000071054e-02 4.233577323173940683e-22 8.467154646347760619e-21
9.175000000000002487e+00 5.000000000000071054e-02 4.158306341928521523e-22 8.316612683856924557e-21
9.225000000000003197e+00 5.000000000000071054e-02 4.083752854489497822e-22 8.167505708978879223e-21
9.275000000000003908e+00 5.000000000000071054e-02 4.009852084902637189e-22 8.019704169805160401e-21
9.325000000000004619e+00 5.000000000000071054e-02 3.936535277702872355e-22 7.873070555405632991e-21
9.375000000000005329e+00 5.000000000000071054e-02 3.863729339251461062e-22 7.727458678502812474e-21
9.425000000000006040e+00 5.000000000000071054e-02 3.791356463681293446e-22 7.582712927362478747e-21
9.475000000000006750e+00 5.000000000000071054e-02 3.719333746587163480e-22 7.438667493174220884e-21
9.525000000000007461e+00 5.000000000000071054e-02 3.647572790945527158e-22 7.295145581890950497e-21
9.575000000000008171e+00 5.000000000000071054e-02 3.575979311439363589e-22 7.151958622878625239e-21
9.625000000000008882e+00 5.000000000000071054e-02 3.504452745467596617e-22 7.008905490935093365e-21
9.675000000000009592e+00 5.000000000000071054e-02 3.432885881714515147e-22 6.865771763428932870e-21
9.725000000000010303e+00 5.000000000000071054e-02 3.361164520331924785e-22 6.722329040663754026e-21
9.775000000000011013e+00 5.000000000000071054e-02 3.289167182643209636e-22 6.578334365286326173e-21
9.825000000000011724e+00 5.000000000000071054e-02 3.216764892918478538e-22 6.433529785836865671e-21
9.875000000000012434e+00 5.000000000000071054e-02 3.143821060299454552e-22 6.287642120598819389e-21
9.925000000000013145e+00 5.000000000000071054e-02 3.070191495472670840e-22 6.140382990945254598e-21
9.975000000000013856e+00 5.000000000000071054e-02 2.995724604283644325e-22 5.991449208567203262e-21
1.002500000000001457e+01 5.000000000000071054e-02 2.920261809203268137e-22 5.840523618406453519e-21
1.007500000000001528e+01 5.000000000000071054e-02 2.843638259393169468e-22 5.687276518786257874e-21
1.012500000000001599e+01 5.000000000000071054e-02 2.765683900969776018e-22 5.531367801939473607e-21
1.017500000000001670e+01 5.000000000000071054e-02 2.686224990700695682e-22 5.372449981401315380e-21
1.022500000000001741e+01 5.000000000000071054e-02 2.605086148346768123e-22 5.210172296693462331e-21
1.027500000000001812e+01 5.000000000000071054e-02 2.522093054478064073e-22 5.044186108956056299e-21
1.032500000000001883e+01 5.000000000000071054e-02 2.437075910758443990e-22 4.874151821516818767e-21
1.037500000000001954e+01 5.000000000000071054e-02 2.349873786838780724e-22 4.699747573677494304e-21
1.042500000000002025e+01 5.000000000000071054e-02 2.260339979931288629e-22 4.520679959862512934e-21
1.047500000000002096e+01 5.000000000000071054e-02 2.168348506907297976e-22 4.336697013814534261e-21
1.052500000000002167e+01 5.000000000000071054e-02 2.073801830536711763e-22 4.147603661073364658e-21
1.057500000000002238e+01 5.000000000000071054e-02 1.976639886475819967e-22 3.953279772951583792e-21
1.062500000000002309e+01 5.000000000000071054e-02 1.876850420071279327e-22 3.753700840142505145e-21
1.067500000000002380e+01 5.000000000000071054e-02 1.774480555484266628e-22 3.548961110968482944e-21
1.072500000000002451e+01 5.000000000000071054e-02 1.669649397261478456e-22 3.339298794522909421e-21
1.077500000000002522e+01 5.000000000000071054e-02 1.562561300092277592e-22 3.125122600184510609e-21
1.082500000000002593e+01 5.000000000000071054e-02 1.453519231949550016e-22 2.907038463899058842e-21
1.087500000000002665e+01 5.000000000000071054e-02 1.342937399222825243e-22 2.685874798445612213e-21
1.092500000000002736e+01 5.000000000000071054e-02 1.231352007226693653e-22 2.462704014453352323e-21
1.097500000000002807e+01 5.000000000000071054e-02 1.119428714204100485e-22 2.238857428408169185e-21
1.102500000000002878e+01 5.000000000000071054e-02 1.007965035853505111e-22 2.015930071706981682e-21
1.107500000000002949e+01 5.000000000000071054e-02 8.978857245334276901e-23 1.795771449066829943e-21
1.112500000000003020e+01 5.000000000000071054e-02 7.902290591095833174e-23 1.580458118219144253e-21
1.117500000000003091e+01 5.000000000000071054e-02 6.861221355315699632e-23 1.372244271063120319e-21
1.122500000000003162e+01 5.000000000000071054e-02 5.867437551700590552e-23 1.173487510340101418e-21
1.127500000000003233e+01 5.000000000000071054e-02 4.932744723088973274e-23 9.865489446177806193e-22
1.132500000000003304e+01 5.000000000000071054e-02 4.068348503676239809e-23 8.136697007352364420e-22
1.137500000000003375e+01 5.000000000000071054e-02 3.284149705896461929e-23 6.568299411792830758e-22
1.142500000000003446e+01 5.000000000000071054e-02 2.588005806195023075e-23 5.176011612389972329e-22
1.147500000000003517e+01 5.000000000000071054e-02 1.985036203573240433e-23 3.970072407146424324e-22
1.152500000000003588e+01 5.000000000000071054e-02 1.477066723406121613e-23 2.954133446812201143e-22
1.157500000000003659e+01 5.000000000000071054e-02 1.062314541431563276e-23 2.124629082863096341e-22
1.162500000000003730e+01 5.000000000000071054e-02 7.354009696651173542e-24 1.470801939330213785e-22
1.167500000000003801e+01 5.000000000000071054e-02 4.877418563692160711e-24 9.754837127384182125e-23
1.172500000000003872e+01 5.000000000000071054e-02 3.083049016207820335e-24 6.166098032415553242e-23
1.177500000000003944e+01 5.000000000000071054e-02 1.846495351533194151e-24 3.692990703066335845e-23
1.182500000000004015e+01 5.000000000000071054e-02 1.040963264187716213e-24 2.081926528375402744e-23
1.187500000000004086e+01 5.000000000000071054e-02 5.483214872140796655e-25 1.096642974428143756e-23
1.192500000000004157e+01 5.000000000000071054e-02 2.676392510147094576e-25 5.352785020294113296e-24
1.197500000000004228e+01 5.000000000000071054e-02 1.199339137866174548e-25 2.398678275732315025e-24
1.202500000000004299e+01 5.000000000000071054e-02 4.882949754781837971e-26 9.765899509563537040e-25
